year,c2f6,c6f14,nitrousOxide,c3f8,c7f16,methane,sf6,c4f10,c8f18,methylBromide,c4f8,carbonTetraChloride,methylChloride,c5f12,co2,nf3
51,0.0,0.0,267.282824331769,0.0,0.0,657.886023524922,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.363,0.0
52,0.0,0.0,267.282824331769,0.0,0.0,657.997019580046,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.368,0.0
53,0.0,0.0,267.282824331769,0.0,0.0,658.094022688652,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.371,0.0
54,0.0,0.0,267.282824331769,0.0,0.0,658.213034019676,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.376,0.0
55,0.0,0.0,267.282824331769,0.0,0.0,658.3740100145629,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.379,0.0
56,0.0,0.0,267.282824331769,0.0,0.0,658.490038617951,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.385,0.0
57,0.0,0.0,267.282824331769,0.0,0.0,658.657010032008,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.387,0.0
58,0.0,0.0,267.282824331769,0.0,0.0,658.7700292765,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.389,0.0
59,0.0,0.0,267.282824331769,0.0,0.0,658.89802002106,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.395,0.0
60,0.0,0.0,267.282824331769,0.0,0.0,659.023025475601,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.397,0.0
61,0.0,0.0,267.282824331769,0.0,0.0,659.1550218397059,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.402,0.0
62,0.0,0.0,267.282824331769,0.0,0.0,659.2850239795611,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.406,0.0
63,0.0,0.0,267.282824331769,0.0,0.0,659.381998898901,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.408,0.0
64,0.0,0.0,267.282824331769,0.0,0.0,659.391046771843,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.41700000000003,0.0
